enterprise_id;enterprise_name;enterprise_address;enterprise_contact;enterprises_address_gps_lat;enterprises_address_gps_lon
1;10H11;;;44.844102;-0.578258
2;30 COURS DU CHAPEAU ROUGE;;;44.8420989;-0.5724748
3;53 MONDAYS;;;44.8255731;-0.562334
4;6 DESIGN;;;44.8437267;-0.6169245
5;A2V MULTIMEDIA;;;;
6;A TO B COMMUNICATION;;;44.804604;-0.604941
7;ABSOLUTE REFERENCEMENT;;;;
8;ADBOK DESIGN;;;46.691357;1.114085
9;ADELYS NET;;;44.829722;-0.572426
10;ADONANTE;;;44.844064;-0.576932
11;AGENCE 404;;;44.877874;-0.514866
12;AGENCE BUZZ;;;44.8399223;-0.6305341
13;AGENCE CAMELIA;;;;
14;AGENCE CATALPA;;;44.8579168;-0.6196186
15;AGENCE EXIGENCES;;;44.8422242;-0.5759993
16;AGENCE HEMISPHERE SUD;;;;
17;AGENCE MWD;;;44.8531061;-0.592166
18;AGENCE ROOT;;;44.857134;-0.5614443
19;AGENCE WWW;;;44.8431167;-0.5481083
20;AGGELOS;;;44.8237447;-0.5764108
21;ALIENOR;;;44.8294125;-0.5606921
22;ALIZARINE;;;44.8226477;-0.5660853
23;AKSON;;;44.845033;-0.576384
24;ANODE ET CATHODE;;;44.8639634;-0.5170572
25;ATELIER 51;;;44.8319414;-0.5897975
26;ATYPICOM;;;44.81731;-0.682461
27;AURORA STUDIO;;;44.8325868;-0.5910229
28;AUTHENTIQUE WEBMARKETING;;;;
29;AXE CIBLES;;;44.8318607;-0.5881662
30;AXYSWEB;;;44.8497557;-0.6011256
31;B52;;;44.877689;-0.530884
32;BACKES COMMUNICATION;;;;
33;BE TOMORROW;;;44.8435163;-0.5713526
34;BEE;;;44.8523384;-0.582094
35;BELLEVUE COM;;;44.8488279;-0.6128985
36;BERNEZAC COMMUNICATION;;;45.6415402;-1.0793509
37;BORDEAUX CONSEIL;;;44.8388406;-0.6150378
38;BOX COMMUNICATION;;;44.832338;-0.5815905
39;BSMA CONSEIL;;;44.806097;-0.635902
40;BULKO;;;44.8337429;-0.5710154
41;C2 STUDIOS;;;44.8490447;-0.5606165
42;CANAL COM;;;44.8546407;-0.5679427
43;CITRON PRESSE;;;;
44;CLARIS;;;44.8652923;-0.5384805
45;CLAUDE CAZEMAJOUR;;;44.9096482;-0.6162559
46;CLEVER AGE;;;44.8547927;-0.5680988
47;CHOCOLAT NOIR;;;44.8422036;-0.5747934
48;COM BY AVM;;;44.9206131;-0.6158784
49;COM TOGETHER;;;44.813748;-0.5537795
50;COMM SANTE;;;;
51;COMMUNICATIV;;;;
52;COMPAGNIE HYPERACTIVE;;;44.8341159;-0.5685986
53;CETE OUEST;;;;
54;CREATIVE STREET;;;44.8363807;-0.6930945
55;CTER&CO;;;44.852842;-0.591814
56;CURIOUS D;;;44.8429598;-0.5871765
57;CURSEUR ET BERGAMOTTE;;;44.8595751;-0.5748323
58;CWA;;;44.843585;-0.573314
59;CYBEL I-MAGE :;;;44.7134516;-0.5817343
60;DEF DAF;;;44.8414295;-0.5305449
61;DEFINIMA;;;44.7517985;-0.6193375
62;DEVINTIS;;;44.8036527;-0.564958
63;DIGITALE ATTRACTIVE;;;46.1405798;-1.1584891
64;DIGITALL CONSEIL;;;44.8489849;-0.5593961
65;DO LIST;;;44.837257;-0.688722
66;ECOMMERCE NETWORK;;;44.8371356;-0.5770174
67;ECOUTEZ-VOIR;;;44.8522306;-0.5506678
68;EENOV;;;44.838707;-0.716728
69;EGUE;;;44.8460249;-0.5757396
70;ETUDES& MEDIAS;;;;
71;FAERIWEB;;;;
72;FCM GRAPHIC;;;44.8799583;-0.5268746
73;FIRST LINK;;;44.8504945;-0.5828809
74;FORMATOUWEB;;;;
75;FORGET ME NOT;;;44.8498386;-0.560641
76;FORMATOUWEB;;;;
77;FOURMIZZ COMMUNICATION;;;44.8142223;-0.5678851
78;FRIENDLY AGENCY;;;44.8547927;-0.5680988
79;FUGU;;;44.856366;-0.5731749
80;FUTUR DIGITAL;;;;
81;GENERALEADS;;;;
82;GMT EDITIONS;;;44.863086;-0.555273
83;GOETS DE WEB;;;;
84;HEURISKO;;;44.865151;-0.492381
85;HORA CONSEPT;;;44.8522587;-0.5506591
86;HUDIK;;;44.8255371;-0.5932693
87;ICOM;;;;
88;ICOMMEDIA;;;;
89;IDEALCOMM;;;44.833431;-0.574462
90;IDEVELOPPEMENT;;;44.849695;-0.560926
91;IDEWAN;;;;
92;IDTONIC;;;44.855706;-0.56407
93;INCOMM;;;44.8517598;-0.503531
94;INDIXIT;;;44.8624207;-0.6820737
95;INAATIV;;;44.8580402;-0.5246132
96;INOXIA;;;44.849624;-0.560613
97;JALIS;;;44.7760958;-0.5888628
98;JARDIN DES MARQUES;;;44.8557064;-0.5640696
99;KAFEINE;;;;
100;KAIZEN MARKETING;;;44.8547927;-0.5680988
101;KA2 COMMUNICATION;;;44.849989;-0.570916
102;KN DESIGN;;;44.8490447;-0.5606165
103;KUBIK;;;44.8623728;-0.5543092
104;LA BOETE E LOGO;;;;
105;LA COMPAGNIE HYPERACTIVE;;;44.8341159;-0.5685986
106;LA GROSSE AGENCE;;;44.8554734;-0.5913924
107;LE STUDIO;;;44.8464105;-0.5596741
108;LE VESTIAIRE;;;44.838761;-0.573154
109;LAPIN ROUGE;;;44.884784;-0.568248
110;LIBEO;;;44.8823098;-0.7412888
111;LITTLE BIG STUDIO;;;44.8374955;-0.5702145
112;M/COMM;;;45.0716884;-0.5767603
113;MAELSTROM STUDIO;;;44.8225703;-0.5600985
114;MAIL PERFORMANCE;;;44.8551066;-0.5650091
115;MANGOTANGO;;;44.8440502;-0.5828829
116;MAURICE LARGERON;;;;
117;METHYS COMMUNICATION;;;44.6863692;-0.3645212
118;MIDDLE BRAIN;;;;
119;MON SMOOTHIE;;;44.8367108;-0.5738056
120;MOONDA;;;44.8384814;-0.5690766
121;MY AGENCY AND I;;;44.8435483;-0.5734309
122;MY WEB SHOP;;;44.847624;-0.6004729
123;NEST COM;;;44.857112;-0.591588
124;NEWTON;;;44.8516725;-0.5713871
125;NEXT WEB CONSEIL;;;;
126;NP6;;;44.8551025;-0.5650227
127;NTECH COMMUNICATION;;;44.8190247;-0.5428048
128;NUBIZ;;;;
129;O TEMPORA;;;44.8435203;-0.5847729
130;OCTOPEPPER;;;44.8405099;-0.5782085
131;OFFENSIVE STUDIO;;;44.8757651;-0.620242
132;OHMYWEB;;;44.829892;-0.6736825
133;ONE BLOOD;;;;
134;ORBITEO;;;44.8477047;-0.5742205
135;OXYGENE RP;;;44.8397053;-0.5855431
136;PAGE PUBLIC;;;44.856298;-0.5908477
137;PARKER ET PARKER;;;44.843735;-0.5727572
138;PASSERELLES;;;44.848937;-0.559422
139;PHILLIPS INTERNET;;;44.8518977;-0.5489006
140;PILE POIL;;;44.851468;-0.556176
141;PIXELUS;;;44.8391374;-0.569681
142;PJC;;;44.8434284;-0.532392
143;POAPLUME;;;44.8553097;-0.5695511
144;PROPULSEO;;;44.7941165;-0.623721
145;PUBLICIS ACTIV;;;44.8651155;-0.5746132
146;PUBLIKA;;;;
147;REAL FACTORY;;;44.8389957;-0.5692578
148;SEA COMMUNICATION;;;;
149;SIGNE CLAIR;;;44.8409259;-0.584625
150;SIXIEME AVENUE;;;;
151;SIXIEME SENS;;;;
152;SMART SEVEN;;;44.8511368;-0.5487722
153;SMILE;;;44.8207396;-0.5412744
154;SECREATIVE;;;;
155;SOKOMM;;;;
156;STJOHNS;;;44.8429614;-0.5796704
157;STUDIO ABRACADABRA;;;44.8531061;-0.592166
158;STUDIO BOHEME;;;;
159;STUDIO BORDERLINE;;;44.846414;-0.59236
160;STUDIO DADA;;;44.8428906;-0.5719439
161;STUDIO POMELO;;;44.8543549;-0.5702421
162;STUDIO SILVER ARROW;;;44.8440058;-0.5752559
163;STUDIO TELEGRAM;;;44.8427647;-0.5791115
164;STUDIO VANILLE;;;;
165;SYMPOZIUM;;;44.8606364;-0.5538289
166;SYSTONIC;;;44.7784042;-0.6650564
167;TAPEZ DIESE;;;;
168;TBWA COMPACT;;;44.8418705;-0.5749197
169;TRIPLE C;;;44.8314103;-0.6013127
170;THE BRANDING AGENCY;;;45.481595;0.277972
171;THE KUB COMMUNICATION;;;44.8374693;-0.5693977
172;THE WILLIS WILLIS;;;;
173;UGOCOM;;;43.9793935;4.9684926
174;UXER;;;44.8547927;-0.5680988
175;VIRTUOZO;;;44.8382405;-0.6915288
176;VITAMINE B;;;44.8516324;-0.5991967
177;WA AGENCY;;;44.8471692;-0.5859562
178;WEBPERFECT;;;44.8587882;-0.5903987
179;WEB COMPAGNIE;;;44.8341159;-0.5685986
180;WEB FUTUR;;;44.852399;-0.570588
181;WEB REPORT;;;44.8418043;-0.5766265
182;WEB STRATEGIES;;;;
183;WEB THEORIE;;;;
184;WINE MOTION;;;44.8622542;-0.5499052
185;WONDR AGENCY;;;;
186;WSB AGENCY;;;44.8431904;-0.5715994
187;VINTERNET;;;;
188;VIRTUOZO;;;44.8382405;-0.6915288
189;VISTALID;;;44.9205024;-0.6165306
190;WEBULLE;;;44.8420017;-0.5801742
191;WELLCOM;;;48.8802385;2.2962427
192;WESTCOM;;;44.8730389;-0.5473897
193;WOPATA;;;44.8326012;-0.5697637
194;XALEO;;;44.835015;-0.6813817
195;XBOIS;;;44.824509;-0.6590072
196;YELLOW AGENCE INTERNET;;;44.8469278;-0.5773088
197;YOO COMMUNICATION INTERACTIVE;;;;
198;ZEST MARKETING;;;44.8155937;-0.5796289